,County,Weighted number Women,Weighted number Men,Have ever been pregnant,Any method,Any modern method,Female sterilization,Male sterilization,IUD,Injectables,Implants,Pill,Male condom,Female condom,Emer- gency contraception,SDM,LAM,Other Modern Methods,Any traditional nmethod,Rhythm,Withdrawal,Other Tradtional Methods,Not currently using,Unmet Need for Family Planning,Met Need for Family Planning (All Methods),Total Demand for Family Planning,County,No Education,Some Primary,Completed Primary,Some Secondary,Completed Secondary,More Than Secondary,Median Years Completed,Registered,,2+,Median Birth Interval,Live birth,Stillbirth,Miscarriage,Induced abortion,Number of Pregnancies,Mean,Wanted fertility Rate,Total fertility Rate,Percentage who used,Mainly wife,Jointly,Mainly husband,Other,% Pressured to become pregnant,Radio,Television,Newspaper/ Magazine,Mobile phone,Social media,Poster/ leaflet/ brochure,Outdoor sign or billboard or events,Community Meeting,Friends/ peers,Internet,None of these,% Visited by  fieldworker who discussed FP,% who visited a health facility and discussed FP,% who visited a health facility and did not discuss FP,No contact
0,Mombasa,947.0,442.0,10.8,46.7,42.1,0.8,0.0,3.7,16.6,14.3,3.8,1.7,0.0,0.2,0.6,0.3,0.0,4.6,2.5,1.8,0.2,53.3,19.1,46.8,65.9,Mombasa  ,6.8,14.7,22.4,13.2,22.1,20.8,7.9,35.0,94.7,5.3,41.2,82.1,1.7,15.4,0.8,339.0,4.0,2.9,3.2,3.9,39.3,52.4,8.3,0.0,7.1,58.7,57.6,22.2,23.1,42.2,47.6,41.8,52.1,75.6,39.4,6.6,3.3,19.2,36.3,78.8
1,Kwale,498.0,209.0,14.8,34.6,34.6,0.8,0.0,2.8,18.2,9.6,2.3,0.3,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,65.4,24.4,32.5,56.9,Kwale  ,18.2,27.1,23.8,11.5,12.4,6.9,7.0,26.1,68.4,31.6,34.4,91.9,1.2,6.5,0.4,201.0,4.9,3.7,4.8,3.3,17.9,64.5,17.6,0.0,2.1,59.1,42.0,23.2,28.3,31.8,36.7,47.3,72.9,91.4,31.0,3.9,2.1,16.6,13.6,82.6
2,Kilifi,928.0,405.0,12.5,48.6,44.7,1.6,0.0,2.1,17.4,17.8,3.7,0.1,0.0,0.0,1.6,0.4,0.0,3.9,2.6,1.3,0.0,51.4,17.9,51.0,68.9,Kilifi  ,13.4,35.9,20.4,11.5,11.1,7.7,6.6,13.2,93.8,6.2,37.2,83.1,2.6,13.6,0.7,343.0,4.3,2.4,3.0,1.8,31.6,62.2,6.2,0.0,6.4,40.9,28.3,9.1,9.3,13.1,18.1,12.9,54.7,83.7,15.8,6.8,5.1,18.8,29.7,78.6
3,Tana River,149.0,64.0,17.6,24.8,23.2,0.5,0.0,1.0,13.1,5.1,1.1,0.5,0.0,0.8,0.0,1.2,0.0,1.6,0.7,0.9,0.0,75.2,33.6,24.5,58.1,Tana River  ,42.1,24.8,15.5,4.8,9.8,3.0,3.8,9.3,93.2,6.8,29.6,91.6,1.8,6.6,0.0,91.0,6.3,5.2,6.2,2.2,50.1,38.8,9.7,0.0,8.2,18.5,14.0,2.4,5.2,7.2,19.2,14.5,32.3,55.5,11.3,32.0,4.1,24.2,23.8,74.7
4,Lamu,101.0,41.0,13.7,42.4,39.2,0.5,0.4,1.1,13.7,10.5,5.6,1.1,0.0,0.0,2.8,3.4,0.0,3.2,1.5,1.3,0.5,57.6,16.8,46.5,63.3,Lamu  ,12.7,32.2,20.7,17.3,9.6,7.5,6.9,46.6,93.5,6.5,39.1,85.9,0.4,13.4,0.2,47.0,4.5,4.4,4.9,2.4,32.7,62.7,3.8,0.8,9.5,38.6,35.3,9.2,9.0,14.1,37.6,32.7,17.9,71.4,15.4,18.1,0.2,8.7,60.4,91.1
5,Taita/Taveta,234.0,103.0,18.4,67.5,64.5,2.8,0.0,4.2,29.3,15.4,7.3,1.8,0.0,0.2,2.5,0.8,0.0,3.0,2.6,0.5,0.0,32.5,12.8,67.1,80.0,Taita/Taveta  ,2.1,16.1,30.7,16.2,22.7,12.2,7.7,16.1,94.8,5.2,53.8,88.0,1.3,9.3,1.3,86.0,3.6,2.8,3.3,4.2,52.5,40.6,6.9,0.0,11.8,60.8,51.5,15.2,10.3,32.4,38.3,25.9,31.7,72.1,23.9,6.3,0.0,6.7,21.6,93.3
6,Garissa,290.0,117.0,14.8,12.7,11.1,1.4,0.0,0.2,4.3,3.5,1.1,0.1,0.0,0.0,0.0,0.5,0.0,1.6,1.4,0.2,0.0,87.3,10.8,15.2,26.1,Garissa  ,52.3,14.7,5.5,14.1,7.3,6.1,0.0,52.2,91.9,8.1,24.8,89.9,1.6,8.5,0.0,155.0,8.1,5.4,5.4,0.2,10.9,58.4,30.7,0.0,6.6,33.0,35.0,19.6,21.3,23.2,19.2,20.0,38.4,47.5,24.7,38.1,1.1,2.7,15.0,97.2
7,Wajir,160.0,63.0,10.8,3.0,2.8,0.1,0.0,0.2,0.9,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,97.0,12.7,4.2,16.9,Wajir  ,60.3,11.4,5.8,11.5,8.4,2.6,0.0,7.5,83.5,16.5,24.7,83.0,5.0,12.0,0.0,101.0,8.9,6.1,6.3,0.0,39.1,57.7,3.2,0.0,8.0,15.3,7.3,4.4,2.0,10.9,1.2,2.1,10.1,43.6,6.9,43.8,0.3,5.2,40.8,94.5
8,Mandera,206.0,81.0,14.6,2.1,1.8,0.0,0.0,0.0,0.6,0.2,0.3,0.0,0.0,0.0,0.0,0.8,0.0,0.3,0.3,0.0,0.0,97.9,17.3,0.7,18.0,Mandera  ,71.0,10.8,4.6,5.1,7.0,1.5,0.0,32.1,80.3,19.7,25.0,96.9,0.4,2.7,0.0,150.0,9.8,7.8,7.8,0.0,56.3,5.1,38.6,0.0,8.1,4.2,2.6,0.9,1.8,2.4,1.0,0.9,17.2,41.8,3.2,56.5,0.0,4.0,4.8,96.0
9,Marsabit,129.0,45.0,29.4,5.9,5.6,0.4,0.0,0.0,2.5,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,94.1,37.6,4.8,42.4,Marsabit  ,62.0,11.6,11.0,5.7,6.8,2.9,0.0,3.4,97.2,2.8,34.3,98.3,0.3,1.4,0.0,82.0,7.1,5.9,5.9,1.5,8.1,81.5,10.5,0.0,6.6,13.1,7.3,3.0,3.3,3.5,4.2,4.1,43.7,76.2,7.6,17.7,8.4,8.1,11.1,89.3
10,Isiolo,137.0,55.0,16.7,30.7,28.7,0.8,0.0,1.4,15.8,4.4,5.1,0.7,0.0,0.0,0.0,0.6,0.0,1.9,0.2,1.2,0.5,69.3,27.3,33.0,60.2,Isiolo  ,25.5,14.4,18.6,11.6,15.6,14.4,7.3,40.3,93.4,6.6,34.1,91.8,1.1,7.1,0.0,61.0,4.7,3.8,4.5,1.7,20.3,65.4,13.0,0.0,7.2,50.4,54.5,28.1,35.3,35.1,39.3,35.2,47.7,80.2,35.9,10.8,8.2,11.9,18.0,82.5
11,Meru,979.0,489.0,23.6,76.0,69.7,0.7,0.0,3.3,31.3,22.9,9.7,0.1,0.0,0.3,0.0,0.0,1.3,6.3,4.1,1.6,0.6,24.0,7.8,77.7,85.5,Meru  ,1.7,28.7,21.5,19.9,14.4,13.7,7.4,21.5,97.5,2.5,50.0,92.7,0.6,6.7,0.0,311.0,3.2,2.8,3.3,4.5,45.4,48.4,6.2,0.0,14.3,50.9,39.4,14.3,11.7,23.4,25.2,25.8,21.4,66.3,20.7,16.7,2.2,9.4,36.4,89.3
